DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
2.867799938,70.09268512,219304085.9,247430536.6,3.307678724,53.14562973
3.519779432,86.03248064,180825167.3,252701136.8,2.702394646,60.62308768
3.846372419,94.1309759,181722589.2,260231094.3,2.541862561,61.60991923
3.042315252,74.35705214,209572618.7,248781635.4,3.120315883,55.30668167
3.040114514,74.3031269,208131002.2,248986073.3,3.122975639,55.11624782
3.041847385,74.34562176,208015014.5,247988124.5,3.109649603,55.72982756
3.041887773,74.34661014,213466224.8,248190067.1,3.119222226,55.73276675
3.041886874,74.34658622,209601590.4,249067989.4,3.124062795,55.13371177
3.041888394,74.34662484,209076592.3,263290307.6,3.28570073,47.97514549
3.041884823,74.3465615,209416481.8,248627623,3.118790061,55.38510162
3.041845313,74.34556928,212852019.4,238286819.9,3.005398121,62.24479704
3.041889045,74.34663986,209483284.9,248772582.2,3.120529964,55.30227097
3.04188624,74.34657196,209497271.6,248774904,3.120578097,55.30119208
2.691867552,65.78187884,267791788.8,255796449.8,3.705233955,50.30591377
2.695957812,65.86879625,212269564.8,220932384.4,3.166591134,56.47237367
2.636783199,64.43581125,271677748.2,255513427.3,3.78492271,49.52201033
3.464480106,84.72612116,215737851.4,262030480,2.880131585,59.28420776
2.072887977,50.64952897,311337529.2,250680997.7,4.811634217,41.94224627
2.479860061,60.59869931,269057230.3,252220736.8,3.974015938,48.29717588
2.643220325,64.59226817,271123873.9,255416976.2,3.773583523,49.68087461
2.691445648,65.77153105,267522066.6,255859210.5,3.70621573,50.25831288
2.691883779,65.78222364,271112015.7,257619232.3,3.733753887,49.39995195
2.691864286,65.78179412,269378423,255581931.5,3.704875308,50.45591021
2.691863526,65.78178887,268478121.7,254578164.8,3.690564763,50.99149646
2.691874115,65.7820374,268687276.1,254614443.7,3.691335093,50.9759091
2.691867479,65.78185999,267745770.1,255794114.1,3.705134204,50.3062116
2.691875027,65.7820576,270474718.2,252239191.3,3.663403855,52.37719732
2.691850221,65.7814069,267390564.4,255269211.8,3.697849058,50.58530677
3.686423724,90.16146475,199279867.2,255637167,2.628304843,66.81763182
3.358332442,82.06063449,163092847.2,218634215.2,2.45855152,70.42838082
1.605108871,39.21528119,282617681.7,207231868.3,5.201015218,42.30128567
2.943087728,71.92340051,192169133.5,216746234.2,2.823451302,64.24020952
3.568431841,87.20340243,150876258.3,220532634.9,2.318308486,72.65327056
3.425683255,83.70848828,158681327.4,219046391.6,2.409140655,71.30618807
3.425377817,83.70109258,158999387.8,218949113.2,2.408748091,71.39428897
3.424806601,83.68709998,156808969.6,217454751.8,2.391390859,72.61928912
3.424812239,83.68719243,157931006,219309873.1,2.411531126,71.03859384
3.424840577,83.68790437,158826833.6,220647464.6,2.426138932,69.94596792
3.424817112,83.6873132,158142415.3,219749039.8,2.416231907,70.67334547
3.424812449,83.68726721,158652270.1,218994872.1,2.409196283,71.33174051
3.42480962,83.68714843,157324823.1,222726630.8,2.445451681,68.22405338
3.424821499,83.68750644,160389341.8,221125498,2.43285966,69.60195117
3.424800125,83.68687707,158638816.7,219038341.9,2.409629649,71.29366792
3.097020541,75.65903693,155802061.9,204103594.6,2.493481272,70.16456977
2.573824748,62.84861385,132573180.7,165722005,2.445749501,72.55549068
2.89453453,70.71168097,161961052,202645330.5,2.659096881,67.17193246
2.716771998,66.37028609,181780021.2,202010970.9,2.854730624,64.31843776
2.891458078,70.64684189,168706289.6,203143271.3,2.677419944,66.89849995
3.712595913,90.71882845,119751655.7,210809942.4,2.10316234,75.77996709
3.218573803,78.62849236,148803073.5,204816188.5,2.398130647,71.93332777
3.09119186,75.51613502,163464463,203641369,2.503100538,70.73219359
3.09696549,75.65772849,153189693,202454813.1,2.471599683,71.6210377
3.096979419,75.65800464,156347211,203705269.5,2.489766419,70.55109108
3.096978821,75.65799742,156197068.3,205081062.4,2.504994073,69.28996065
3.096991748,75.65830971,155945500.6,203927383,2.491717737,70.33133717
3.097024249,75.65909811,155732209.4,204100406.4,2.493350554,70.16511009
3.096983474,75.65812667,155268945.7,207144513.7,2.526902699,67.458036
3.096954829,75.65745075,156942334.6,205118217.1,2.506411508,69.28172986
3.599132152,87.93071983,133684020.5,213375712.1,2.210006018,71.78573722
2.9195822,71.27761106,118200617.1,172738261.4,2.219472599,73.0548245
2.791882664,68.18156689,152241391.1,173862619.7,2.384701515,70.15020346
2.913321378,71.13139754,129501293.7,173141715.8,2.244871069,72.94387948
2.1286936,51.99661285,160325405.2,164692463,2.993558548,62.42211732
2.846098537,69.49965568,141538461.6,173573614.2,2.320411735,71.34602564
2.850797793,69.6149932,137291058.5,173931658.4,2.314871188,70.92951878
2.845472733,69.48436576,147425209.8,175405114.2,2.351708726,69.70300277
2.845407015,69.48280713,140721385.4,173877020.4,2.323506949,70.98478494
2.845403497,69.48272212,142373211.9,172574738.2,2.309985825,72.41185737
2.845406388,69.48279329,142066231.6,173580086,2.321811632,71.34357616
2.845430358,69.48337891,142170646.8,173586829.8,2.322024027,71.34133886
2.845375018,69.48202275,144133853.5,170573406.4,2.288110256,74.68598134
2.845398527,69.48259475,142021563.3,173426101,2.319874951,71.50130281
2.845408821,69.4828455,142135355.2,173583032.4,2.321944678,71.34331081
2.683813868,65.56311995,162610830.2,193888827.2,2.755575812,63.26816549
2.483687383,60.66972177,158596978.5,181311601.8,2.795187946,63.07297265
2.557371779,62.47648414,171315792.8,192849594.9,2.891590116,61.4994201
2.414274995,58.9754356,180383409.6,191428664.8,3.057860032,59.56342645
2.222072083,54.29369314,192909009.9,190928293.1,3.337527257,55.71869099
2.754681489,67.29386322,159386071.4,194653279.8,2.689546525,64.12934969
2.681997715,65.51877666,162444108.2,193866051,2.756893389,63.2403405
2.689867279,65.71154463,161560374.4,194151980.6,2.751178717,63.15030596
2.683860148,65.56427523,162328156,193703657.6,2.75270312,63.42093901
2.683817087,65.56318581,161289353.7,194111631.5,2.756446886,63.03328177
2.683819161,65.56324539,162804699.3,194987058.6,2.770073487,62.34118921
2.683819879,65.56325509,163936911.3,190021461.3,2.707550333,66.83860817
2.683828764,65.5634391,162631388,194056087.7,2.757755703,63.12520763
