samples,DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
239,3.459487544,84.53320305,209985561.2,216557164.5,2.42109949,61.43272086
240,3.562288719,87.04654604,193059615.8,216393966.6,2.330261755,62.93995035
241,3.56226869,87.04607081,197026213.0,218220645.5,2.352621277,61.95155046
242,3.562236025,87.04525358,196632848.2,215871532.2,2.329294943,63.3360306
243,3.562235623,87.04524556,192828665.1,216112033.2,2.327283976,63.10285636
244,3.562240273,87.04535917,194560283.2,213425631.0,2.303078326,64.80345943
245,3.562229529,87.04509238,192514798.8,215917586.0,2.325033265,63.21267822
246,3.562236332,87.0452592,192802865.7,170418052.4,1.881860574,62.93201879
247,3.562235802,87.04524889,192802944.9,215594494.3,2.322209799,62.9320081
248,3.562235931,87.04525206,192802932.1,215574606.9,2.322015851,62.93200912
249,3.562242279,87.0454073,196678868.8,210794695.9,2.279858129,66.57096961
250,3.562230283,87.04506023,192257138.7,215635745.7,2.321990584,63.37725508
251,3.56223774,87.04528908,192802705.5,216395835.5,2.330019179,62.9320385
252,2.009178816,49.07745425,201025594.8,87766164.62,1.924821686,39.49475231
253,1.970821652,48.13874885,195504775.8,85957827.72,1.918999135,39.82443256
254,2.329960143,56.91030876,175577457.5,91718353.23,1.674170501,42.4441608
255,2.753467353,67.24913584,136333876.8,97353924.51,1.429607201,45.4263304
256,2.009233929,49.07880525,201028198.3,87765500.08,1.924762689,39.4963299
257,1.759985399,42.99217234,209265699.4,82743508.76,2.11735854,37.92585321
258,1.91193852,46.70270936,207951448.3,86654563.07,2.017303617,38.52074148
259,2.009171791,49.07728644,201016730.5,87767811.14,1.924838877,39.49340103
260,2.009239439,49.07899288,203388815.6,89107380.7,1.952738526,38.73554346
261,2.009194897,49.07784652,201611293.5,87002837.28,1.912803626,40.07984168
262,2.009210986,49.07823117,201063201.4,87872571.77,1.926706082,39.43057467
263,2.009197615,49.07791432,203457583.4,105370159.1,2.233966185,30.99469955
264,2.009233512,49.07881007,201101906.5,87859417.4,1.926535722,39.44004799
265,2.009206252,49.07812613,201026748.7,122168189.2,2.519318463,39.49588611
266,2.009207333,49.07815636,201026771.4,88566615.64,1.938629792,39.49590891
267,2.009207319,49.07815601,201026777.8,89136037.56,1.948470313,39.49590867
268,2.009211058,49.07824485,207328541.4,66147975.8,1.563989855,60.05650485
