formulation,productivity,capex,opex,batches,batch time,cycle time,cost
2.850908561,0.056007732,58561683.52,188514.1813,232,380392.6213,121704.3166,3365.859946
2.850908561,0.05698174,59040973.98,190004.007,232,380073.1947,121277.5775,3334.471858
2.850908561,0.05698174,58603339.06,207487.511,186,446047.3408,151118.2031,3641.298292
2.850908561,0.087437174,69766278.67,228211.5817,250,371701.1232,112730.6175,2610.006366
2.850908561,0.051228757,56290035.29,182343.8234,227,382160.709,124033.2324,3559.403652
2.850908561,0.056691073,58925408.26,189600.8178,232,380199.1244,121403.3896,3344.456309
2.850908561,0.056979951,59040147.94,190044.5369,232,380126.6282,121331.0105,3335.287801
2.850908561,0.056979951,53656009.53,167505.241,263,365888.3175,107092.6998,2939.722425
2.850908546,0.056979951,59052593.25,190011.5503,232,380073.9657,121278.348,3334.708886
2.850908561,0.056979951,58687632.23,186237.3539,238,377147.5949,118351.9772,3268.471617
2.85090855,0.056979951,58927296.79,194942.2123,215,389746.69,130951.0724,3421.242163
2.850908561,0.056979951,59040914.09,190001.8113,232,380073.9657,121278.348,3334.537965
3.516727337,0.06959547,58832687.04,189225.5901,232,380073.9657,121278.348,2718.93545
2.120161931,0.056979951,65520876.65,215388.6234,232,380073.9657,121278.348,3780.077344
2.850908561,0.056979951,59040918.65,190002.0226,232,380073.9657,121278.348,3334.541674
2.850908561,0.056979951,59040918.72,190002.027,232,380073.9657,121278.348,3334.541752
2.494989998,0.055600619,60880143.14,200912.5688,237,448745.56,118456.9098,3613.495168
2.494989998,0.055600619,60840165.72,197769.3606,238,368598.3019,118456.9098,3556.963275
2.494989998,0.055600619,60635515.35,207526.9757,214,463728.3587,131193.0469,3732.457996
2.494989998,0.055600619,60880137.59,200912.3228,237,448745.56,118456.9098,3613.490743
2.494989998,0.055600619,60848397.21,200872.7996,237,448720.826,118456.9098,3612.779902
2.494990001,0.055350434,60766759.63,200516.8923,237,448845.0994,118556.4459,3622.679666
2.494990001,0.055591719,60585554.12,210561.3637,208,482711.5158,135089.7656,3787.639008
2.494989998,0.068344669,66015487.31,219927.186,242,444727.0204,116208.0469,3217.912805
2.494989998,0.037012759,52085476.92,174879.3869,217,459087.24,129515.9052,4724.840589
2.494989998,0.055915203,61002139.95,201211.2227,238,448621.5295,118333.0176,3598.506516
2.494990001,0.055600619,60880371.33,200900.6199,237,448732.0734,118443.4232,3613.280262
2.494989998,0.055600619,57449858.59,189647.2704,242,440957.8921,116208.0469,3410.884144
2.494989998,0.055600619,60887922.79,200918.609,237,448745.56,118456.9098,3613.603804
2.494989998,0.055600619,61267762.28,205144.4081,231,451818.5113,121529.8611,3689.606538
2.494989998,0.055600619,60872607.75,199004.0433,242,439375.0375,116208.0469,3579.169552
2.494989998,0.055600619,60887923.14,200918.6321,237,448745.56,118456.9098,3613.604219
4.616668398,0.097338475,59700942.79,196346.7692,237,448745.56,118456.9098,2017.15477
1.853026162,0.055600619,67868905.13,229036.1569,237,448745.56,118456.9098,4119.309464
2.494989998,0.055600619,60887921.48,200918.5548,237,448745.56,118456.9098,3613.602829
3.492982635,0.061286361,51640449.35,180976.0418,208,489569.1813,135089.7656,2952.957866
3.492982635,0.061286361,51572915.95,176692.3317,209,394438.6427,135089.7656,2883.061235
3.492982635,0.061487129,51659837.09,178037.7447,209,409374.5319,135089.7656,2895.528681
3.492982635,0.065054699,52775378.11,182213.5873,209,408604.7248,135089.7656,2800.928901
3.492982635,0.061381131,51628538.06,177915.79,209,409399.4867,135089.7656,2898.542064
3.492982635,0.061381131,51657405.55,173988.9963,215,375414.3419,131193.0469,2834.568109
3.492982635,0.061367459,51533545.71,177785.5568,209,409310.7861,135089.7656,2897.065648
3.492982635,0.116573499,67262068.07,241438.273,209,403233.3553,135089.7656,2071.124863
3.492982635,0.061046378,51519585.96,177521.9219,209,409478.9602,135089.7656,2907.984517
3.492982635,0.061367459,51620974.56,177905.1211,209,409411.3648,135089.7656,2899.013983
3.492982635,0.061367459,55198585.58,189589.8882,208,417325.8202,135089.7656,3089.420548
3.492982635,0.061367459,51620923.83,177896.978,209,409402.7155,135089.7656,2898.881288
3.492982635,0.061367459,51269243.53,175964.5416,209,407858.3349,135089.7656,2867.391694
3.492982635,0.061367459,51664524.57,179059.9848,208,420609.3221,135089.7656,2917.832811
3.492982635,0.061367459,51620923.82,177896.977,209,409402.7155,135089.7656,2898.881273
1.853026162,0.035053649,53007330.93,183155.0937,209,409402.7155,135089.7656,5224.993703
4.616668398,0.061367459,47020731.95,161292.5037,209,409402.7155,135089.7656,2628.306709
3.492982635,0.061367459,51620923.85,177896.9795,209,409402.7155,135089.7656,2898.881312
3.492982635,0.061367459,51620923.95,177896.9865,209,409402.7155,135089.7656,2898.881427
2.553109656,0.079855699,68894020.55,233090.1086,223,421411.387,126098.2031,2918.891343
2.553109656,0.079855699,68881527.38,231731.2696,224,390943.7841,126098.2031,2901.875162
2.553109656,0.079855699,68875916.21,231257.8608,223,396439.055,126098.2031,2895.946859
2.553109656,0.079855699,68897916.51,233093.6221,223,421411.387,126098.2031,2918.935341
2.553109656,0.079855699,68866544.92,233051.2741,223,421386.7686,126098.2031,2918.405034
2.553109656,0.079612216,68816128.39,232725.066,223,421454.3415,126098.2031,2923.233115
